REGISTER_NAME	BN_NAME	BN_STATUS	BN_REG_DT	BN_CANCEL_DT	BN_RENEW_DT	BN_STATE_NUM	BN_STATE_OF_REG	BN_ABN
BUSINESS NAMES	Central Private Security	Deregistered	29/08/2016	18/01/2018	29/08/2017			46988047423
BUSINESS NAMES	Miss Margo Designs	Deregistered	29/08/2016	18/01/2018	29/08/2017			80856194797
BUSINESS NAMES	MATCHA BAR	Deregistered	29/08/2016	18/01/2018	29/08/2017			14614469911
BUSINESS NAMES	Northern Safety Solutions (NT)	Deregistered	26/08/2016	18/01/2018	26/08/2017			84553484170
BUSINESS NAMES	JUST 1 CALL AWAY TOWING	Deregistered	27/08/2016	18/01/2018	27/08/2017			29623236112
BUSINESS NAMES	RMC LANDSCAPES	Deregistered	23/08/2016	18/01/2018	23/08/2017			82552125526
BUSINESS NAMES	SWISHCAFE	Deregistered	24/08/2016	18/01/2018	24/08/2017			63811310337
BUSINESS NAMES	CENTRAL HANDYMAN SOLUTIONS	Deregistered	26/08/2016	18/01/2018	26/08/2017			49049121976
BUSINESS NAMES	A1 EXPRESS CAR CARRIERS	Deregistered	25/08/2016	18/01/2018	25/08/2017			78332065151
BUSINESS NAMES	EUROTEK MECHANICALS	Deregistered	24/08/2016	31/07/2017	24/08/2019			29613815919
BUSINESS NAMES	Loader Housework	Deregistered	24/08/2016	18/01/2018	24/08/2017			20918985291
BUSINESS NAMES	New Look Photography	Deregistered	25/08/2016	05/06/2017	25/08/2017			43875125007
BUSINESS NAMES	GRANDE LANDSCAPES & GARDEN CARE	Deregistered	26/08/2016	04/08/2017	26/08/2019			91022070244
BUSINESS NAMES	Water Bores QLD	Deregistered	27/08/2016	18/01/2018	27/08/2017			94274258282
BUSINESS NAMES	Imperial Patio Solutions	Deregistered	29/08/2016	18/01/2018	29/08/2017			49465379146
BUSINESS NAMES	Lucky 485	Deregistered	29/08/2016	18/01/2018	29/08/2017			36789637499
BUSINESS NAMES	Gold Coast Concierge	Deregistered	24/08/2016	18/01/2018	24/08/2017			30885202277
BUSINESS NAMES	Village Traders Gifts & Homewares	Deregistered	23/08/2016	18/01/2018	23/08/2017			84729454283
BUSINESS NAMES	LRM CLEANING	Deregistered	25/08/2016	18/01/2018	25/08/2017			32287150812
BUSINESS NAMES	KYNK The Label	Deregistered	24/08/2016	18/01/2018	24/08/2017			61105909640
BUSINESS NAMES	Passionate Playthings	Deregistered	26/08/2016	18/01/2018	26/08/2017			14915842847
BUSINESS NAMES	Eastern Suburbs Local Plumber	Deregistered	26/08/2016	18/01/2018	26/08/2017			69600483850
BUSINESS NAMES	Star in the Making Music Education Program	Deregistered	29/08/2016	18/01/2018	29/08/2017			85001210843
BUSINESS NAMES	PONIES R US	Deregistered	29/08/2016	18/01/2018	29/08/2017			15136820308
BUSINESS NAMES	local court specialists	Deregistered	26/08/2016	14/12/2017	01/08/2017			24097695200
BUSINESS NAMES	PAY WHEN SOLD	Deregistered	23/08/2016	18/01/2018	23/08/2017			76610152835
BUSINESS NAMES	Breezy Clean	Deregistered	29/08/2016	18/01/2018	29/08/2017			59955895541
BUSINESS NAMES	T Louise Consulting	Deregistered	29/08/2016	19/10/2017	29/08/2017			22659761362
BUSINESS NAMES	Williams Plant Hire & Haulage	Deregistered	23/08/2016	18/01/2018	23/08/2017			42613975116
BUSINESS NAMES	Body and Soul Osteopathy	Deregistered	23/08/2016	18/01/2018	23/08/2017			61769635521
BUSINESS NAMES	Territory 10	Deregistered	24/08/2016	18/01/2018	24/08/2017			76566160698
BUSINESS NAMES	Bondi chemical	Deregistered	23/08/2016	18/01/2018	23/08/2017			47550187136
BUSINESS NAMES	Psylogica Solutions	Deregistered	25/08/2016	18/01/2018	25/08/2017			64862527149
BUSINESS NAMES	GAWI CONSULTANTS	Deregistered	25/08/2016	18/01/2018	25/08/2017			99630236683
BUSINESS NAMES	OZY CONCRETE	Deregistered	27/08/2016	18/01/2018	27/08/2017			85967951363
BUSINESS NAMES	Clean Dust & Shine	Deregistered	26/08/2016	18/01/2018	26/08/2017			37202094640
BUSINESS NAMES	Bowls Plus South Australian Lifestyle Magazine	Deregistered	29/08/2016	14/08/2017	29/08/2017			81324710596
BUSINESS NAMES	DOOR 2 DOOR 4X4	Deregistered	24/08/2016	18/01/2018	24/08/2017			75951565806
BUSINESS NAMES	Fierce Heart	Deregistered	29/08/2016	16/07/2017	29/08/2017			92197038025
BUSINESS NAMES	@SYNERGY	Deregistered	23/08/2016	18/01/2018	23/08/2017			94339242930
BUSINESS NAMES	Everything Maintenance	Deregistered	23/08/2016	18/01/2018	23/08/2017			13908009301
BUSINESS NAMES	NORTH SHORE HEART	Deregistered	24/08/2016	18/01/2018	24/08/2017			98979775995
BUSINESS NAMES	ALL CLASS WARDROBES	Deregistered	23/08/2016	18/01/2018	23/08/2017			42163827050
BUSINESS NAMES	Caboolture Harmony Montessori Childrens House	Deregistered	23/08/2016	18/01/2018	23/08/2017			59905567292
BUSINESS NAMES	The Bride's Mane	Deregistered	25/08/2016	21/10/2017	25/08/2017			72320869601
BUSINESS NAMES	Craig Day Personal Training	Deregistered	26/08/2016	10/10/2017	26/08/2017			74572241478
BUSINESS NAMES	A leveling spirit	Deregistered	26/08/2016	18/01/2018	26/08/2017			89598677273
BUSINESS NAMES	JSM SCHEDULING	Deregistered	27/08/2016	18/01/2018	27/08/2017			27933025489
BUSINESS NAMES	Many Women	Deregistered	29/08/2016	18/01/2018	29/08/2017			55644628852
BUSINESS NAMES	Real McCoy Thermomix	Deregistered	29/08/2016	18/01/2018	29/08/2017			14944269004
BUSINESS NAMES	om sri sai enterprises	Deregistered	24/08/2016	18/01/2018	24/08/2017			56740793234
BUSINESS NAMES	WOODBILL CONSULTING	Deregistered	29/08/2016	18/01/2018	29/08/2017			54150146527
BUSINESS NAMES	nq cool hire	Deregistered	25/08/2016	18/01/2018	25/08/2017			39814122927
BUSINESS NAMES	SAC SALON	Deregistered	25/08/2016	10/06/2017	25/08/2019			16624876730
BUSINESS NAMES	Roar Physique Personal Training	Deregistered	29/08/2016	18/01/2018	29/08/2017			69953808955
BUSINESS NAMES	a.t design studio	Deregistered	23/08/2016	18/01/2018	23/08/2017			93489199769
BUSINESS NAMES	YING DELIVERY	Deregistered	24/08/2016	18/01/2018	24/08/2017			77201690133
BUSINESS NAMES	Stallion Strength & Fitness	Deregistered	24/08/2016	28/08/2017	24/08/2017			25697554280
BUSINESS NAMES	dcg Active Health & Weight Loss Solutions	Deregistered	24/08/2016	18/01/2018	24/08/2017			75264798801
BUSINESS NAMES	CAMPBELL BUILDING GROUP	Deregistered	23/08/2016	03/09/2017	23/08/2019			50886856727
BUSINESS NAMES	Xtreme Marine Darwin	Deregistered	23/08/2016	03/06/2017	23/08/2017			30933047071
BUSINESS NAMES	CONTENT CONCRETE	Deregistered	25/08/2016	18/01/2018	25/08/2017			56536156588
BUSINESS NAMES	EPISTAR AUSTRALIA	Deregistered	25/08/2016	03/06/2017	25/08/2017			15612896901
BUSINESS NAMES	UNITED HOME IMPROVEMENT	Deregistered	26/08/2016	18/01/2018	26/08/2017			61001256829
BUSINESS NAMES	DOOR2DOOR PROMOTIONS	Deregistered	26/08/2016	18/01/2018	26/08/2017			54941745876
BUSINESS NAMES	The Game Changers Coaching & Consulting	Deregistered	27/08/2016	18/01/2018	27/08/2017			93613610807
BUSINESS NAMES	Cairns Eco Clean	Deregistered	28/08/2016	18/01/2018	28/08/2017			76522684035
BUSINESS NAMES	CAPRICORN SAFETY	Deregistered	29/08/2016	14/04/2018	29/08/2018			72832126292
BUSINESS NAMES	FENCERS R US	Deregistered	25/08/2016	18/01/2018	25/08/2017			36553945497
BUSINESS NAMES	Amazing Party Cakes	Deregistered	29/08/2016	18/01/2018	29/08/2017			60563549165
BUSINESS NAMES	NLAM TILING	Deregistered	23/08/2016	18/01/2018	23/08/2017			28138853709
BUSINESS NAMES	Northern Beaches Accounting & Taxation Services	Deregistered	23/08/2016	04/09/2017	23/08/2017			
BUSINESS NAMES	Central West Solar Cleaning	Deregistered	23/08/2016	18/01/2018	23/08/2017			61176394387
BUSINESS NAMES	Wild Child Deals	Deregistered	24/08/2016	18/01/2018	24/08/2017			61274519780
BUSINESS NAMES	Eye For Detail Cleaning Services Kim Nakon	Deregistered	25/08/2016	18/01/2018	25/08/2017			51157246628
